customer_id,first_name,last_name,email,phone,street_address,city,state,country,region,created_date
00000000-0000-0000-0000-000000000001,Samantha,Anderson,samantha_anderson143@work.org,(954) 304-9935,1425 Central St,Los Angeles,CA,United States,NORTH,2022-08-12
00000000-0000-0000-0000-000000000002,Sandra,Rogers,sandrarogers666@gmail.com,(918) 758-7873,3612 Church Ter,Virginia Beach,VA,Japan,NORTH,2022-06-13
00000000-0000-0000-0000-000000000003,Rachel,Parker,rachel.parker782@icloud.com,(544) 304-2519,6225 Washington Rd,El Paso,TX,Netherlands,EAST,2022-02-14
00000000-0000-0000-0000-000000000004,Janet,Flores,janet_flores301@yahoo.com,(843) 833-6925,9460 Sunset Ave,Omaha,NE,Canada,SOUTH,2022-10-24
00000000-0000-0000-0000-000000000005,David,Robinson,david_robinson@aol.com,(573) 366-7065,5821 Forest Ln,San Antonio,TX,United Kingdom,SOUTH,2023-07-01
00000000-0000-0000-0000-000000000006,Janet,Young,janet_young948@live.com,(855) 904-4598,5314 Cedar Dr,Austin,TX,Canada,EAST,2023-02-15
00000000-0000-0000-0000-000000000007,Paul,Rodriguez,paulrodriguez@inbox.com,(522) 417-9179,6483 School Blvd,Columbus,OH,Japan,SOUTH,2022-09-10
00000000-0000-0000-0000-000000000008,Catherine,Gomez,catherinegomez@icloud.com,(797) 608-6930,3594 Lake Pl,Omaha,NE,Spain,NORTH,2022-02-18
00000000-0000-0000-0000-000000000009,Joseph,Martin,josephmartin@hotmail.com,(265) 594-7252,9764 School Pl,Tampa,FL,Japan,NORTH,2023-11-28
00000000-0000-0000-0000-00000000000a,Patrick,Anderson,patrickanderson@inbox.com,(987) 856-6573,1828 Highland Way,Wichita,KS,France,WEST,2022-01-04
00000000-0000-0000-0000-00000000000b,Patrick,Ross,patrick.ross@msn.com,(308) 840-5889,8318 Sunset Blvd,San Francisco,CA,Netherlands,SOUTH,2023-07-07
